group,n,mae,rmse
"('Accounts', 'Associate', 'Product Manager', 'Under Grad')",1,1098500.18,1098500.18
"('Accounts', 'Associate', 'Research Analyst', 'Grad')",1,1029491.93,1029491.93
"('Accounts', 'Associate', 'Research Analyst', 'PG')",2,938278.93,950977.21
"('Accounts', 'Associate', 'Research Analyst', 'Under Grad')",3,1054971.93,1066198.68
"('Accounts', 'Associate', 'Software Developer', 'PG')",2,965386.39,965817.0
"('Accounts', 'Associate', 'Software Developer', 'Under Grad')",1,1143351.89,1143351.89
"('Accounts', 'Associate', 'Sr.Manager', 'Doctorate')",2,858609.9,884655.61
"('Accounts', 'Associate', 'Sr.Manager', 'PG')",1,971430.4,971430.4
"('Accounts', 'Associate', 'Sr.Manager', 'Under Grad')",1,1119879.4,1119879.4
"('Accounts', 'Associate', 'Web Designer', 'Doctorate')",1,723999.32,723999.32
"('Accounts', 'Associate', 'Web Designer', 'Grad')",1,1052902.32,1052902.32
"('Accounts', 'Associate', 'Web Designer', 'Under Grad')",1,1017750.32,1017750.32
"('Accounts', 'Bio statistician', 'Assistant Manager', 'Doctorate')",7,572250.5,916684.9
"('Accounts', 'Bio statistician', 'Assistant Manager', 'Grad')",1,58225.9,58225.9
"('Accounts', 'Bio statistician', 'Assistant Manager', 'PG')",2,644496.47,892803.51
"('Accounts', 'Bio statistician', 'Assistant Manager', 'Under Grad')",3,251242.38,421209.38
"('Accounts', 'Bio statistician', 'CA', 'Doctorate')",1,2253124.58,2253124.58
"('Accounts', 'Bio statistician', 'CA', 'Grad')",1,1052702.0,1052702.0
"('Accounts', 'Bio statistician', 'CA', 'PG')",2,487450.1,679791.65
"('Accounts', 'Bio statistician', 'Consultant', 'Doctorate')",2,911783.13,1253258.97
"('Accounts', 'Bio statistician', 'Consultant', 'Grad')",4,36956.58,47484.67
"('Accounts', 'Bio statistician', 'Consultant', 'PG')",1,7826.5,7826.5
"('Accounts', 'Bio statistician', 'Consultant', 'Under Grad')",3,892506.38,996786.02
"('Accounts', 'Bio statistician', 'Data Analyst', 'Doctorate')",1,790564.93,790564.93
"('Accounts', 'Bio statistician', 'Data Analyst', 'PG')",1,19019.4,19019.4
"('Accounts', 'Bio statistician', 'Data Analyst', 'Under Grad')",4,264558.56,457065.85
"('Accounts', 'Bio statistician', 'Director', 'PG')",1,781925.35,781925.35
"('Accounts', 'Bio statistician', 'Director', 'Under Grad')",1,16338.0,16338.0
"('Accounts', 'Bio statistician', 'HR', 'Doctorate')",1,99590.5,99590.5
"('Accounts', 'Bio statistician', 'HR', 'Grad')",1,27271.0,27271.0
"('Accounts', 'Bio statistician', 'HR', 'PG')",2,470247.92,610046.13
"('Accounts', 'Bio statistician', 'HR', 'Under Grad')",2,766071.42,788998.48
"('Accounts', 'Bio statistician', 'Manager', 'Under Grad')",2,1031508.67,1033333.57
"('Accounts', 'Bio statistician', 'Marketing Manager', 'Doctorate')",2,1279976.99,1337371.13
"('Accounts', 'Bio statistician', 'Marketing Manager', 'Grad')",2,382151.5,509537.81
"('Accounts', 'Bio statistician', 'Marketing Manager', 'PG')",2,505046.35,666810.42
"('Accounts', 'Bio statistician', 'Marketing Manager', 'Under Grad')",3,262765.4,312292.07
"('Accounts', 'Bio statistician', 'Network Engineer', 'Doctorate')",1,28692.0,28692.0
"('Accounts', 'Bio statistician', 'Network Engineer', 'PG')",2,50024.55,60455.36
"('Accounts', 'Bio statistician', 'Others', 'Doctorate')",1,73777.0,73777.0
"('Accounts', 'Bio statistician', 'Others', 'PG')",3,20960.4,21932.31
"('Accounts', 'Bio statistician', 'Others', 'Under Grad')",1,518023.16,518023.16
"('Accounts', 'Bio statistician', 'Product Manager', 'Grad')",2,534009.14,736832.44
"('Accounts', 'Bio statistician', 'Product Manager', 'PG')",3,97677.69,116826.95
"('Accounts', 'Bio statistician', 'Product Manager', 'Under Grad')",1,449467.18,449467.18
"('Accounts', 'Bio statistician', 'Research Analyst', 'Doctorate')",1,1099242.48,1099242.48
"('Accounts', 'Bio statistician', 'Research Analyst', 'Grad')",1,16054.9,16054.9
"('Accounts', 'Bio statistician', 'Research Analyst', 'PG')",1,55566.5,55566.5
"('Accounts', 'Bio statistician', 'Research Analyst', 'Under Grad')",2,26450.25,26545.59
"('Accounts', 'Bio statistician', 'Software Developer', 'Doctorate')",2,420739.16,593533.94
"('Accounts', 'Bio statistician', 'Software Developer', 'PG')",1,32111.5,32111.5
"('Accounts', 'Bio statistician', 'Software Developer', 'Under Grad')",5,261110.52,565089.82
"('Accounts', 'Bio statistician', 'Sr.Manager', 'PG')",2,49089.1,49371.67
"('Accounts', 'Bio statistician', 'Web Designer', 'Doctorate')",2,147847.41,189215.61
"('Accounts', 'Bio statistician', 'Web Designer', 'Under Grad')",2,628426.26,878836.13
"('Accounts', 'Business Analyst', 'Assistant Manager', 'Doctorate')",1,725369.34,725369.34
"('Accounts', 'Business Analyst', 'Assistant Manager', 'Grad')",4,465528.96,663727.73
"('Accounts', 'Business Analyst', 'Assistant Manager', 'PG')",2,1022333.34,1025494.33
"('Accounts', 'Business Analyst', 'Assistant Manager', 'Under Grad')",4,720055.09,788006.55
"('Accounts', 'Business Analyst', 'CA', 'Doctorate')",2,22705.35,22710.34
"('Accounts', 'Business Analyst', 'CA', 'Grad')",1,15205.5,15205.5
"('Accounts', 'Business Analyst', 'CA', 'PG')",2,380822.05,524270.45
"('Accounts', 'Business Analyst', 'CA', 'Under Grad')",1,33540.5,33540.5
"('Accounts', 'Business Analyst', 'Consultant', 'Doctorate')",1,1706775.27,1706775.27
"('Accounts', 'Business Analyst', 'Consultant', 'Grad')",2,16969.55,20575.96
"('Accounts', 'Business Analyst', 'Consultant', 'PG')",1,1147789.71,1147789.71
"('Accounts', 'Business Analyst', 'Consultant', 'Under Grad')",2,698416.71,723925.78
"('Accounts', 'Business Analyst', 'Data Analyst', 'Doctorate')",2,1089644.43,1090876.14
"('Accounts', 'Business Analyst', 'Data Analyst', 'Grad')",2,760643.43,852818.47
"('Accounts', 'Business Analyst', 'Data Analyst', 'PG')",1,29585.0,29585.0
"('Accounts', 'Business Analyst', 'Data Analyst', 'Under Grad')",1,283168.09,283168.09
"('Accounts', 'Business Analyst', 'Director', 'Doctorate')",2,360937.64,506186.49
"('Accounts', 'Business Analyst', 'Director', 'Grad')",1,79860.35,79860.35
"('Accounts', 'Business Analyst', 'Director', 'PG')",3,46820.45,53214.4
"('Accounts', 'Business Analyst', 'Director', 'Under Grad')",3,335565.54,476518.02
"('Accounts', 'Business Analyst', 'HR', 'Doctorate')",5,459812.95,594565.51
"('Accounts', 'Business Analyst', 'HR', 'Grad')",1,16496.5,16496.5
"('Accounts', 'Business Analyst', 'HR', 'PG')",4,521128.06,711416.54
"('Accounts', 'Business Analyst', 'HR', 'Under Grad')",2,567103.86,794534.22
"('Accounts', 'Business Analyst', 'Manager', 'Doctorate')",2,162521.32,167219.82
"('Accounts', 'Business Analyst', 'Manager', 'Under Grad')",1,204163.32,204163.32
"('Accounts', 'Business Analyst', 'Marketing Manager', 'Doctorate')",1,741962.79,741962.79
"('Accounts', 'Business Analyst', 'Marketing Manager', 'Grad')",2,50796.85,70368.68
"('Accounts', 'Business Analyst', 'Marketing Manager', 'PG')",1,1005054.2,1005054.2
"('Accounts', 'Business Analyst', 'Marketing Manager', 'Under Grad')",1,534513.79,534513.79
"('Accounts', 'Business Analyst', 'Network Engineer', 'Under Grad')",1,976.9,976.9
"('Accounts', 'Business Analyst', 'Others', 'Doctorate')",1,60787.22,60787.22
"('Accounts', 'Business Analyst', 'Others', 'Under Grad')",1,20078.0,20078.0
"('Accounts', 'Business Analyst', 'Product Manager', 'Doctorate')",1,1775353.32,1775353.32
"('Accounts', 'Business Analyst', 'Product Manager', 'PG')",2,29440.65,32268.03
"('Accounts', 'Business Analyst', 'Research Analyst', 'Doctorate')",1,2240474.48,2240474.48
"('Accounts', 'Business Analyst', 'Research Analyst', 'Grad')",1,13932.2,13932.2
"('Accounts', 'Business Analyst', 'Research Analyst', 'PG')",1,1022855.93,1022855.93
"('Accounts', 'Business Analyst', 'Research Analyst', 'Under Grad')",1,524567.48,524567.48
"('Accounts', 'Business Analyst', 'Software Developer', 'Doctorate')",2,1875367.13,1983864.15
"('Accounts', 'Business Analyst', 'Software Developer', 'Grad')",1,185478.89,185478.89
"('Accounts', 'Business Analyst', 'Software Developer', 'PG')",1,108326.0,108326.0
"('Accounts', 'Business Analyst', 'Software Developer', 'Under Grad')",4,567464.47,782629.03
"('Accounts', 'Business Analyst', 'Sr.Manager', 'Doctorate')",1,607594.4,607594.4
"('Accounts', 'Business Analyst', 'Sr.Manager', 'PG')",2,399683.6,546749.96
"('Accounts', 'Business Analyst', 'Sr.Manager', 'Under Grad')",1,39535.5,39535.5
"('Accounts', 'Business Analyst', 'Web Designer', 'Doctorate')",2,41940.35,45139.27
"('Accounts', 'Business Analyst', 'Web Designer', 'PG')",1,10894.2,10894.2
"('Accounts', 'Business Analyst', 'Web Designer', 'Under Grad')",1,26810.5,26810.5
"('Accounts', 'CEO', 'Assistant Manager', 'Doctorate')",3,937954.24,1073140.93
"('Accounts', 'CEO', 'Assistant Manager', 'Grad')",2,13925.2,18218.4
"('Accounts', 'CEO', 'Assistant Manager', 'PG')",2,19096.05,26465.01
"('Accounts', 'CEO', 'CA', 'Doctorate')",1,20683.8,20683.8
"('Accounts', 'CEO', 'CA', 'Grad')",1,30431.2,30431.2
"('Accounts', 'CEO', 'CA', 'Under Grad')",1,247093.58,247093.58
"('Accounts', 'CEO', 'Consultant', 'Doctorate')",1,1051029.27,1051029.27
"('Accounts', 'CEO', 'Consultant', 'Grad')",1,6997.2,6997.2
"('Accounts', 'CEO', 'Consultant', 'PG')",1,1047.2,1047.2
"('Accounts', 'CEO', 'Data Analyst', 'Doctorate')",1,2251317.09,2251317.09
"('Accounts', 'CEO', 'Data Analyst', 'PG')",1,5610.2,5610.2
"('Accounts', 'CEO', 'Data Analyst', 'Under Grad')",1,567427.09,567427.09
"('Accounts', 'CEO', 'Director', 'Doctorate')",1,4413.2,4413.2
"('Accounts', 'CEO', 'Director', 'PG')",1,2258.8,2258.8
"('Accounts', 'CEO', 'Director', 'Under Grad')",3,132826.47,188933.67
"('Accounts', 'CEO', 'HR', 'Grad')",1,20294.9,20294.9
"('Accounts', 'CEO', 'HR', 'PG')",1,21280.2,21280.2
"('Accounts', 'CEO', 'HR', 'Under Grad')",1,12260.8,12260.8
"('Accounts', 'CEO', 'Manager', 'PG')",1,22986.0,22986.0
"('Accounts', 'CEO', 'Manager', 'Under Grad')",1,35664.8,35664.8
"('Accounts', 'CEO', 'Marketing Manager', 'Grad')",1,19489.0,19489.0
"('Accounts', 'CEO', 'Marketing Manager', 'PG')",1,41635.0,41635.0
"('Accounts', 'CEO', 'Network Engineer', 'Grad')",1,1165.8,1165.8
"('Accounts', 'CEO', 'Network Engineer', 'PG')",3,49928.2,62440.39
"('Accounts', 'CEO', 'Others', 'Doctorate')",1,1437.8,1437.8
"('Accounts', 'CEO', 'Others', 'PG')",2,14838.7,15798.43
"('Accounts', 'CEO', 'Others', 'Under Grad')",2,35857.11,49217.61
"('Accounts', 'CEO', 'Product Manager', 'PG')",1,52280.0,52280.0
"('Accounts', 'CEO', 'Research Analyst', 'Grad')",1,9478.0,9478.0
"('Accounts', 'CEO', 'Software Developer', 'PG')",1,51417.8,51417.8
"('Accounts', 'CEO', 'Software Developer', 'Under Grad')",1,15432.2,15432.2
"('Accounts', 'CEO', 'Sr.Manager', 'Doctorate')",2,671719.13,791966.12
"('Accounts', 'CEO', 'Sr.Manager', 'PG')",1,20169.0,20169.0
"('Accounts', 'CEO', 'Web Designer', 'Doctorate')",1,958900.82,958900.82
"('Accounts', 'CEO', 'Web Designer', 'Grad')",1,14596.0,14596.0
"('Accounts', 'CEO', 'Web Designer', 'PG')",1,52325.1,52325.1
"('Accounts', 'Consultant', 'Assistant Manager', 'Doctorate')",3,280373.02,403917.57
"('Accounts', 'Consultant', 'Assistant Manager', 'Grad')",2,537877.42,729763.88
"('Accounts', 'Consultant', 'Assistant Manager', 'Under Grad')",1,1243377.34,1243377.34
"('Accounts', 'Consultant', 'CA', 'Grad')",1,58426.6,58426.6
"('Accounts', 'Consultant', 'CA', 'PG')",3,69938.93,83766.31
"('Accounts', 'Consultant', 'Consultant', 'Doctorate')",1,2282453.27,2282453.27
"('Accounts', 'Consultant', 'Consultant', 'PG')",1,37070.0,37070.0
"('Accounts', 'Consultant', 'Consultant', 'Under Grad')",5,634071.92,784102.25
"('Accounts', 'Consultant', 'Data Analyst', 'Doctorate')",3,913745.79,1155802.18
"('Accounts', 'Consultant', 'Data Analyst', 'Grad')",1,61612.4,61612.4
"('Accounts', 'Consultant', 'Director', 'Grad')",1,183203.35,183203.35
"('Accounts', 'Consultant', 'Director', 'Under Grad')",2,466524.35,625025.5
"('Accounts', 'Consultant', 'HR', 'Doctorate')",2,716505.96,787412.84
"('Accounts', 'Consultant', 'HR', 'PG')",1,51429.0,51429.0
"('Accounts', 'Consultant', 'HR', 'Under Grad')",1,1169251.92,1169251.92
"('Accounts', 'Consultant', 'Manager', 'Grad')",1,1052136.67,1052136.67
"('Accounts', 'Consultant', 'Manager', 'PG')",2,8654.5,9331.06
"('Accounts', 'Consultant', 'Manager', 'Under Grad')",2,46854.44,47042.23
"('Accounts', 'Consultant', 'Marketing Manager', 'Grad')",4,192614.3,334194.53
"('Accounts', 'Consultant', 'Marketing Manager', 'Under Grad')",1,33146.2,33146.2
"('Accounts', 'Consultant', 'Network Engineer', 'Doctorate')",3,36634.03,48716.81
"('Accounts', 'Consultant', 'Network Engineer', 'Grad')",2,454467.4,636931.43
"('Accounts', 'Consultant', 'Network Engineer', 'PG')",1,985593.6,985593.6
"('Accounts', 'Consultant', 'Network Engineer', 'Under Grad')",4,816931.6,915875.35
"('Accounts', 'Consultant', 'Others', 'Doctorate')",2,757703.66,803935.39
"('Accounts', 'Consultant', 'Others', 'Grad')",1,1216410.22,1216410.22
"('Accounts', 'Consultant', 'Others', 'PG')",2,31590.95,31628.52
"('Accounts', 'Consultant', 'Others', 'Under Grad')",1,492413.22,492413.22
"('Accounts', 'Consultant', 'Product Manager', 'PG')",2,837209.68,837674.22
"('Accounts', 'Consultant', 'Product Manager', 'Under Grad')",1,286706.18,286706.18
"('Accounts', 'Consultant', 'Research Analyst', 'Doctorate')",1,595856.93,595856.93
"('Accounts', 'Consultant', 'Research Analyst', 'Grad')",1,879128.93,879128.93
"('Accounts', 'Consultant', 'Research Analyst', 'PG')",1,1140629.93,1140629.93
"('Accounts', 'Consultant', 'Scientist', 'Under Grad')",2,134897.6,167540.19
"('Accounts', 'Consultant', 'Software Developer', 'Doctorate')",1,514758.89,514758.89
"('Accounts', 'Consultant', 'Software Developer', 'Grad')",1,24669.8,24669.8
"('Accounts', 'Consultant', 'Software Developer', 'PG')",2,55489.65,58733.04
"('Accounts', 'Consultant', 'Software Developer', 'Under Grad')",3,189398.34,289574.97
"('Accounts', 'Consultant', 'Sr.Manager', 'Grad')",1,988172.4,988172.4
"('Accounts', 'Consultant', 'Sr.Manager', 'PG')",1,1150730.4,1150730.4
"('Accounts', 'Consultant', 'Web Designer', 'Doctorate')",2,475845.81,667110.88
"('Accounts', 'Consultant', 'Web Designer', 'PG')",1,66541.5,66541.5
"('Accounts', 'Consultant', 'Web Designer', 'Under Grad')",1,658824.32,658824.32
"('Accounts', 'Financial Analyst', 'Assistant Manager', 'Grad')",1,916133.34,916133.34
"('Accounts', 'Financial Analyst', 'Assistant Manager', 'PG')",2,527409.17,740124.51
"('Accounts', 'Financial Analyst', 'Assistant Manager', 'Under Grad')",2,289035.77,390823.57
"('Accounts', 'Financial Analyst', 'CA', 'Doctorate')",2,1729190.08,1747459.78
"('Accounts', 'Financial Analyst', 'CA', 'Grad')",2,43730.95,43732.55
"('Accounts', 'Financial Analyst', 'CA', 'PG')",1,31230.0,31230.0
"('Accounts', 'Financial Analyst', 'Consultant', 'Doctorate')",1,896969.71,896969.71
"('Accounts', 'Financial Analyst', 'Data Analyst', 'PG')",1,98750.1,98750.1
"('Accounts', 'Financial Analyst', 'Data Analyst', 'Under Grad')",2,610412.71,844458.42
"('Accounts', 'Financial Analyst', 'HR', 'Doctorate')",2,1157888.0,1352805.68
"('Accounts', 'Financial Analyst', 'HR', 'Grad')",2,500082.71,700872.92
"('Accounts', 'Financial Analyst', 'HR', 'PG')",4,318867.78,571429.11
"('Accounts', 'Financial Analyst', 'HR', 'Under Grad')",2,1058960.92,1058994.74
"('Accounts', 'Financial Analyst', 'Manager', 'Grad')",1,952142.67,952142.67
"('Accounts', 'Financial Analyst', 'Manager', 'Under Grad')",2,551908.17,684164.4
"('Accounts', 'Financial Analyst', 'Marketing Manager', 'Grad')",1,1052565.2,1052565.2
"('Accounts', 'Financial Analyst', 'Marketing Manager', 'PG')",1,48751.0,48751.0
"('Accounts', 'Financial Analyst', 'Marketing Manager', 'Under Grad')",1,803589.2,803589.2
"('Accounts', 'Financial Analyst', 'Network Engineer', 'Doctorate')",1,1987314.21,1987314.21
"('Accounts', 'Financial Analyst', 'Network Engineer', 'Grad')",2,13477.4,14028.06
"('Accounts', 'Financial Analyst', 'Network Engineer', 'PG')",2,403288.7,569413.76
"('Accounts', 'Financial Analyst', 'Network Engineer', 'Under Grad')",2,159717.6,176071.33
"('Accounts', 'Financial Analyst', 'Others', 'Grad')",1,933218.22,933218.22
"('Accounts', 'Financial Analyst', 'Others', 'PG')",1,8543.2,8543.2
"('Accounts', 'Financial Analyst', 'Others', 'Under Grad')",1,1038501.22,1038501.22
"('Accounts', 'Financial Analyst', 'Product Manager', 'Doctorate')",2,101662.21,132840.13
"('Accounts', 'Financial Analyst', 'Product Manager', 'Grad')",1,44664.5,44664.5
"('Accounts', 'Financial Analyst', 'Product Manager', 'PG')",3,89266.56,117029.88
"('Accounts', 'Financial Analyst', 'Product Manager', 'Under Grad')",1,435146.18,435146.18
"('Accounts', 'Financial Analyst', 'Research Analyst', 'Doctorate')",2,760200.14,1042831.71
"('Accounts', 'Financial Analyst', 'Research Analyst', 'Grad')",3,189424.44,312149.14
"('Accounts', 'Financial Analyst', 'Research Analyst', 'PG')",2,164115.22,208581.96
"('Accounts', 'Financial Analyst', 'Research Analyst', 'Under Grad')",1,128.2,128.2
"('Accounts', 'Financial Analyst', 'Software Developer', 'Doctorate')",1,21971.0,21971.0
"('Accounts', 'Financial Analyst', 'Software Developer', 'Grad')",2,534911.64,738019.97
"('Accounts', 'Financial Analyst', 'Software Developer', 'PG')",1,1238154.89,1238154.89
"('Accounts', 'Financial Analyst', 'Software Developer', 'Under Grad')",3,415600.06,698246.44
"('Accounts', 'Financial Analyst', 'Sr.Manager', 'Doctorate')",4,683723.7,854579.36
"('Accounts', 'Financial Analyst', 'Sr.Manager', 'Grad')",1,924594.4,924594.4
"('Accounts', 'Financial Analyst', 'Sr.Manager', 'PG')",2,531058.95,738148.92
"('Accounts', 'Financial Analyst', 'Sr.Manager', 'Under Grad')",1,974642.4,974642.4
"('Accounts', 'Financial Analyst', 'Web Designer', 'Doctorate')",3,710969.15,769111.63
"('Accounts', 'Financial Analyst', 'Web Designer', 'Grad')",3,621524.58,747023.86
"('Accounts', 'Financial Analyst', 'Web Designer', 'PG')",2,580855.06,806873.93
"('Accounts', 'Financial Analyst', 'Web Designer', 'Under Grad')",2,747125.82,813119.83
"('Accounts', 'Head', 'Assistant Manager', 'Grad')",2,24399.7,26766.36
"('Accounts', 'Head', 'Assistant Manager', 'Under Grad')",2,6145.65,6994.06
"('Accounts', 'Head', 'CA', 'Doctorate')",3,783472.58,1290606.09
"('Accounts', 'Head', 'Consultant', 'Grad')",2,15616.05,17490.43
"('Accounts', 'Head', 'Consultant', 'PG')",1,24188.2,24188.2
"('Accounts', 'Head', 'Consultant', 'Under Grad')",4,29229.96,55345.22
"('Accounts', 'Head', 'Data Analyst', 'Doctorate')",1,15277.2,15277.2
"('Accounts', 'Head', 'Data Analyst', 'Grad')",1,8951.5,8951.5
"('Accounts', 'Head', 'Data Analyst', 'PG')",1,3693.8,3693.8
"('Accounts', 'Head', 'Director', 'Doctorate')",3,1028849.35,1270684.6
"('Accounts', 'Head', 'HR', 'Doctorate')",2,137303.0,167777.58
"('Accounts', 'Head', 'HR', 'Grad')",2,37581.35,39891.51
"('Accounts', 'Head', 'HR', 'PG')",1,26053.5,26053.5
"('Accounts', 'Head', 'HR', 'Under Grad')",1,37611.0,37611.0
"('Accounts', 'Head', 'Manager', 'Grad')",1,2418.2,2418.2
"('Accounts', 'Head', 'Manager', 'PG')",2,15536.15,15568.1
"('Accounts', 'Head', 'Manager', 'Under Grad')",1,138793.32,138793.32
"('Accounts', 'Head', 'Marketing Manager', 'Grad')",1,14561.5,14561.5
"('Accounts', 'Head', 'Marketing Manager', 'Under Grad')",1,16696.5,16696.5
"('Accounts', 'Head', 'Medical Officer', 'Grad')",1,7192.8,7192.8
"('Accounts', 'Head', 'Network Engineer', 'Doctorate')",2,285761.86,365629.04
"('Accounts', 'Head', 'Network Engineer', 'Grad')",2,45642.3,46318.44
"('Accounts', 'Head', 'Others', 'PG')",2,35029.25,35029.26
"('Accounts', 'Head', 'Others', 'Under Grad')",1,278952.16,278952.16
"('Accounts', 'Head', 'Product Manager', 'Doctorate')",1,1306803.32,1306803.32
"('Accounts', 'Head', 'Product Manager', 'Grad')",1,6236.2,6236.2
"('Accounts', 'Head', 'Research Analyst', 'Grad')",2,17382.35,18371.48
"('Accounts', 'Head', 'Research Analyst', 'PG')",2,11337.65,14732.36
"('Accounts', 'Head', 'Research Analyst', 'Under Grad')",1,3387.5,3387.5
"('Accounts', 'Head', 'Software Developer', 'Doctorate')",2,406553.66,557037.08
"('Accounts', 'Head', 'Software Developer', 'Grad')",4,35141.35,40089.66
"('Accounts', 'Head', 'Software Developer', 'PG')",1,20126.8,20126.8
"('Accounts', 'Head', 'Sr.Manager', 'Doctorate')",1,994127.13,994127.13
"('Accounts', 'Head', 'Sr.Manager', 'Under Grad')",1,495.4,495.4
"('Accounts', 'Head', 'Web Designer', 'Doctorate')",2,20947.11,20998.33
"('Accounts', 'Head', 'Web Designer', 'Grad')",2,33530.35,33571.71
